"table_schema","table_name","column_name","data_type"
"configadm","app","app_id","bigint"
"configadm","app","app_name","character varying"
"configadm","app","display_value","character varying"
"configadm","app","display_seq","integer"
"configadm","app","created_by","character varying"
"configadm","app","created_date","timestamp with time zone"
"configadm","app","last_modified_by","character varying"
"configadm","app","last_modified_date","timestamp with time zone"
"configadm","app","app_name_es","character varying"
"configadm","app","display_value_es","character varying"
"configadm","app_component","app_component_id","bigint"
"configadm","app_component","app_component_name","character varying"
"configadm","app_component","app_id","bigint"
"configadm","app_component","display_value","character varying"
"configadm","app_component","display_seq","integer"
"configadm","app_component","created_by","character varying"
"configadm","app_component","created_date","timestamp with time zone"
"configadm","app_component","last_modified_by","character varying"
"configadm","app_component","last_modified_date","timestamp with time zone"
"configadm","app_component","app_component_name_es","character varying"
"configadm","app_component","display_value_es","character varying"
"configadm","app_component_function","app_component_function_id","bigint"
"configadm","app_component_function","app_sub_component_id","bigint"
"configadm","app_component_function","app_function_name","character varying"
"configadm","app_component_function","active","smallint"
"configadm","app_component_function","created_by","character varying"
"configadm","app_component_function","created_date","timestamp with time zone"
"configadm","app_component_function","last_modified_by","character varying"
"configadm","app_component_function","last_modified_date","timestamp with time zone"
"configadm","app_component_function","app_function_name_es","character varying"
"configadm","app_role","app_role_id","bigint"
"configadm","app_role","parent_app_role_id","bigint"
"configadm","app_role","app_role_name","character varying"
"configadm","app_role","created_by","character varying"
"configadm","app_role","created_date","timestamp with time zone"
"configadm","app_role","last_modified_by","character varying"
"configadm","app_role","last_modified_date","timestamp with time zone"
"configadm","app_role","app_role_code","character varying"
"configadm","app_role","start_date","date"
"configadm","app_role","end_date","date"
"configadm","app_role","min_override_pct","numeric"
"configadm","app_role","max_override_pct","numeric"
"configadm","app_role","max_payment_amount","numeric"
"configadm","app_role","accounting_unit_type","character varying"
"configadm","app_role","ent_role_id","bigint"
"configadm","app_role_menu","app_role_menu_id","bigint"
"configadm","app_role_menu","app_component_function_id","bigint"
"configadm","app_role_menu","app_role_id","bigint"
"configadm","app_role_menu","app_user_id","bigint"
"configadm","app_role_menu","view","smallint"
"configadm","app_role_menu","edit","smallint"
"configadm","app_role_menu","active","smallint"
"configadm","app_role_menu","created_by","character varying"
"configadm","app_role_menu","created_date","timestamp with time zone"
"configadm","app_role_menu","last_modified_by","character varying"
"configadm","app_role_menu","last_modified_date","timestamp with time zone"
"configadm","app_role_menu","approve","smallint"
"configadm","app_role_permission","app_role_permission_id","bigint"
"configadm","app_role_permission","app_component_id","bigint"
"configadm","app_role_permission","app_role_id","bigint"
"configadm","app_role_permission","view","smallint"
"configadm","app_role_permission","edit","smallint"
"configadm","app_role_permission","approve","smallint"
"configadm","app_role_permission","created_by","character varying"
"configadm","app_role_permission","created_date","timestamp with time zone"
"configadm","app_role_permission","last_modified_by","character varying"
"configadm","app_role_permission","last_modified_date","timestamp with time zone"
"configadm","app_sub_component","app_sub_component_id","bigint"
"configadm","app_sub_component","app_sub_component_name","character varying"
"configadm","app_sub_component","active","smallint"
"configadm","app_sub_component","app_component_id","bigint"
"configadm","app_sub_component","created_by","character varying"
"configadm","app_sub_component","created_date","timestamp with time zone"
"configadm","app_sub_component","last_modified_by","character varying"
"configadm","app_sub_component","last_modified_date","timestamp with time zone"
"configadm","app_sub_component","app_sub_component_name_es","character varying"
"configadm","app_user","app_user_id","bigint"
"configadm","app_user","created_by","character varying"
"configadm","app_user","created_date","timestamp with time zone"
"configadm","app_user","last_modified_by","character varying"
"configadm","app_user","last_modified_date","timestamp with time zone"
"configadm","app_user","app_user_first_name","character varying"
"configadm","app_user","app_user_last_name","character varying"
"configadm","app_user","active","smallint"
"configadm","app_user","ldap_user_descriptor","character varying"
"configadm","app_user","encrypted_pin","character varying"
"configadm","app_user","ldap_user_id","character varying"
"configadm","app_user","email_address","character varying"
"configadm","app_user","employee_id","bigint"
"configadm","app_user","last_modified_source","character varying"
"configadm","app_user","ent_user_id","bigint"
"configadm","app_user_bkp","app_user_id","bigint"
"configadm","app_user_bkp","app_user_first_name","character varying"
"configadm","app_user_bkp","app_user_last_name","character varying"
"configadm","app_user_bkp","active","smallint"
"configadm","app_user_bkp","ldap_user_descriptor","character varying"
"configadm","app_user_bkp","encrypted_pin","character varying"
"configadm","app_user_bkp","ldap_user_id","character varying"
"configadm","app_user_bkp","email_address","character varying"
"configadm","app_user_bkp","employee_id","bigint"
"configadm","app_user_bkp","created_by","character varying"
"configadm","app_user_bkp","created_date","timestamp with time zone"
"configadm","app_user_bkp","last_modified_by","character varying"
"configadm","app_user_bkp","last_modified_date","timestamp with time zone"
"configadm","app_user_locat_assign_type","app_user_locat_assign_type_id","numeric"
"configadm","app_user_locat_assign_type","assignment_type_name","character varying"
"configadm","app_user_locat_assign_type","display_value","character varying"
"configadm","app_user_locat_assign_type","display_seq","numeric"
"configadm","app_user_locat_assign_type","created_by","character varying"
"configadm","app_user_locat_assign_type","created_date","character varying"
"configadm","app_user_locat_assign_type","last_modified_by","character varying"
"configadm","app_user_locat_assign_type","last_modified_date","character varying"
"configadm","app_user_location","app_user_location_id","bigint"
"configadm","app_user_location","app_user_id","bigint"
"configadm","app_user_location","org_hierarchy_id","bigint"
"configadm","app_user_location","app_user_locat_assign_type_id","bigint"
"configadm","app_user_location","start_date","timestamp without time zone"
"configadm","app_user_location","end_date","date"
"configadm","app_user_location","created_by","character varying"
"configadm","app_user_location","created_date","timestamp with time zone"
"configadm","app_user_location","last_modified_by","character varying"
"configadm","app_user_location","last_modified_date","timestamp with time zone"
"configadm","app_user_location","user_location_assignment_id","bigint"
"configadm","app_user_location_bkp","app_user_location_id","bigint"
"configadm","app_user_location_bkp","app_user_id","bigint"
"configadm","app_user_location_bkp","org_hierarchy_id","bigint"
"configadm","app_user_location_bkp","app_user_locat_assign_type_id","bigint"
"configadm","app_user_location_bkp","start_date","date"
"configadm","app_user_location_bkp","end_date","date"
"configadm","app_user_location_bkp","created_by","character varying"
"configadm","app_user_location_bkp","created_date","timestamp with time zone"
"configadm","app_user_location_bkp","last_modified_by","character varying"
"configadm","app_user_location_bkp","last_modified_date","timestamp with time zone"
"configadm","app_user_role","app_user_role_id","bigint"
"configadm","app_user_role","app_role_id","bigint"
"configadm","app_user_role","created_by","character varying"
"configadm","app_user_role","created_date","timestamp with time zone"
"configadm","app_user_role","last_modified_by","character varying"
"configadm","app_user_role","last_modified_date","timestamp with time zone"
"configadm","app_user_role","start_date","timestamp without time zone"
"configadm","app_user_role","end_date","date"
"configadm","app_user_role","app_user_id","bigint"
"configadm","app_user_role","temporary_store_id","bigint"
"configadm","app_user_role","app_user_role_assign_type_id","smallint"
"configadm","app_user_role_assign_type","app_user_role_assign_type_id","smallint"
"configadm","app_user_role_assign_type","assignment_type_name","character varying"
"configadm","app_user_role_assign_type","display_value","character varying"
"configadm","app_user_role_assign_type","display_seq","integer"
"configadm","app_user_role_assign_type","created_by","character varying"
"configadm","app_user_role_assign_type","created_date","timestamp with time zone"
"configadm","app_user_role_assign_type","last_modified_by","character varying"
"configadm","app_user_role_assign_type","last_modified_date","timestamp with time zone"
"configadm","app_user_role_bkp","app_user_role_id","bigint"
"configadm","app_user_role_bkp","app_user_id","bigint"
"configadm","app_user_role_bkp","app_role_id","bigint"
"configadm","app_user_role_bkp","start_date","timestamp without time zone"
"configadm","app_user_role_bkp","end_date","date"
"configadm","app_user_role_bkp","created_by","character varying"
"configadm","app_user_role_bkp","created_date","timestamp with time zone"
"configadm","app_user_role_bkp","last_modified_by","character varying"
"configadm","app_user_role_bkp","last_modified_date","timestamp with time zone"
"configadm","app_user_role_temp","app_user_role_id","bigint"
"configadm","app_user_role_temp","app_role_id","bigint"
"configadm","app_user_role_temp","created_by","character varying"
"configadm","app_user_role_temp","created_date","timestamp with time zone"
"configadm","app_user_role_temp","last_modified_by","character varying"
"configadm","app_user_role_temp","last_modified_date","timestamp with time zone"
"configadm","app_user_role_temp","start_date","timestamp without time zone"
"configadm","app_user_role_temp","end_date","date"
"configadm","app_user_role_temp","app_user_id","bigint"
"configadm","app_user_role_temp","temporary_store_id","bigint"
"configadm","association","association_id","bigint"
"configadm","association","association_name","character varying"
"configadm","association","association_type_id","bigint"
"configadm","association","created_by","character varying"
"configadm","association","created_date","timestamp with time zone"
"configadm","association","last_modified_by","character varying"
"configadm","association","last_modified_date","timestamp with time zone"
"configadm","association","association_desc","character varying"
"configadm","association","association_ref_code","character varying"
"configadm","association_type","association_type_id","bigint"
"configadm","association_type","association_type_name","character varying"
"configadm","association_type","association_type_desc","character varying"
"configadm","association_type","created_by","character varying"
"configadm","association_type","created_date","timestamp with time zone"
"configadm","association_type","last_modified_by","character varying"
"configadm","association_type","last_modified_date","timestamp with time zone"
"configadm","association_type","display_value","character varying"
"configadm","association_type","display_seq","integer"
"configadm","aud_app_role_menu","aud_app_role_menu_id","bigint"
"configadm","aud_app_role_menu","app_role_menu_id","bigint"
"configadm","aud_app_role_menu","app_component_function_id","bigint"
"configadm","aud_app_role_menu","app_role_id","bigint"
"configadm","aud_app_role_menu","app_user_id","bigint"
"configadm","aud_app_role_menu","view","smallint"
"configadm","aud_app_role_menu","edit","smallint"
"configadm","aud_app_role_menu","active","smallint"
"configadm","aud_app_role_menu","approve","smallint"
"configadm","aud_app_role_menu","created_by","character varying"
"configadm","aud_app_role_menu","created_date","timestamp with time zone"
"configadm","aud_app_role_menu","last_modified_by","character varying"
"configadm","aud_app_role_menu","last_modified_date","timestamp with time zone"
"configadm","aud_menu_association","aud_menu_association_id","bigint"
"configadm","aud_menu_association","menu_association_id","bigint"
"configadm","aud_menu_association","view","smallint"
"configadm","aud_menu_association","edit","smallint"
"configadm","aud_menu_association","active","smallint"
"configadm","aud_menu_association","parent_association_id","bigint"
"configadm","aud_menu_association","association_id","bigint"
"configadm","aud_menu_association","app_component_function_id","bigint"
"configadm","aud_menu_association","approve","smallint"
"configadm","aud_menu_association","created_by","character varying"
"configadm","aud_menu_association","created_date","timestamp with time zone"
"configadm","aud_menu_association","last_modified_by","character varying"
"configadm","aud_menu_association","last_modified_date","timestamp with time zone"
"configadm","aud_param_config","aud_param_config_id","bigint"
"configadm","aud_param_config","association_id","bigint"
"configadm","aud_param_config","param_key_id","bigint"
"configadm","aud_param_config","param_config_id","bigint"
"configadm","aud_param_config","parent_association_id","bigint"
"configadm","aud_param_config","start_date","date"
"configadm","aud_param_config","end_date","date"
"configadm","aud_param_config","line_of_business","character varying"
"configadm","aud_param_config","created_by","character varying"
"configadm","aud_param_config","created_date","timestamp with time zone"
"configadm","aud_param_config","last_modified_by","character varying"
"configadm","aud_param_config","last_modified_date","timestamp with time zone"
"configadm","aud_param_config_list_of_value","aud_param_config_list_of_value_id","bigint"
"configadm","aud_param_config_list_of_value","param_config_id","bigint"
"configadm","aud_param_config_list_of_value","param_config_list_of_value_id","bigint"
"configadm","aud_param_config_list_of_value","param_value","character varying"
"configadm","aud_param_config_list_of_value","param_name","character varying"
"configadm","aud_param_config_list_of_value","param_desc","character varying"
"configadm","aud_param_config_list_of_value","param_order","character varying"
"configadm","aud_param_config_list_of_value","active","smallint"
"configadm","aud_param_config_list_of_value","param_lov_param_name","character varying"
"configadm","aud_param_config_list_of_value","created_by","character varying"
"configadm","aud_param_config_list_of_value","created_date","timestamp with time zone"
"configadm","aud_param_config_list_of_value","last_modified_by","character varying"
"configadm","aud_param_config_list_of_value","last_modified_date","timestamp with time zone"
"configadm","authentication_config","authentication_config_id","bigint"
"configadm","authentication_config","authentication_type_id","bigint"
"configadm","authentication_config","association_id","bigint"
"configadm","authentication_config","pin_required","smallint"
"configadm","authentication_config","second_level_authentication_required","smallint"
"configadm","authentication_config","start_date","date"
"configadm","authentication_config","end_date","date"
"configadm","authentication_config","created_by","character varying"
"configadm","authentication_config","created_date","timestamp with time zone"
"configadm","authentication_config","last_modified_by","character varying"
"configadm","authentication_config","last_modified_date","timestamp with time zone"
"configadm","authentication_group","authentication_group_id","bigint"
"configadm","authentication_group","authentication_group_name","character varying"
"configadm","authentication_group","display_value","character varying"
"configadm","authentication_group","display_seq","integer"
"configadm","authentication_group","created_by","character varying"
"configadm","authentication_group","created_date","timestamp with time zone"
"configadm","authentication_group","last_modified_by","character varying"
"configadm","authentication_group","last_modified_date","timestamp with time zone"
"configadm","authentication_type","authentication_type_id","bigint"
"configadm","authentication_type","authentication_group_id","bigint"
"configadm","authentication_type","authentication_type_name","character varying"
"configadm","authentication_type","display_value","character varying"
"configadm","authentication_type","display_seq","integer"
"configadm","authentication_type","created_by","character varying"
"configadm","authentication_type","created_date","timestamp with time zone"
"configadm","authentication_type","last_modified_by","character varying"
"configadm","authentication_type","last_modified_date","timestamp with time zone"
"configadm","awsdms_apply_exceptions","TASK_NAME","character varying"
"configadm","awsdms_apply_exceptions","TABLE_OWNER","character varying"
"configadm","awsdms_apply_exceptions","TABLE_NAME","character varying"
"configadm","awsdms_apply_exceptions","ERROR_TIME","timestamp without time zone"
"configadm","awsdms_apply_exceptions","STATEMENT","text"
"configadm","awsdms_apply_exceptions","ERROR","text"
"configadm","awsdms_validation_failures_v1","TASK_NAME","character varying"
"configadm","awsdms_validation_failures_v1","TABLE_OWNER","character varying"
"configadm","awsdms_validation_failures_v1","TABLE_NAME","character varying"
"configadm","awsdms_validation_failures_v1","FAILURE_TIME","timestamp without time zone"
"configadm","awsdms_validation_failures_v1","KEY_TYPE","character varying"
"configadm","awsdms_validation_failures_v1","KEY","character varying"
"configadm","awsdms_validation_failures_v1","FAILURE_TYPE","character varying"
"configadm","awsdms_validation_failures_v1","DETAILS","character varying"
"configadm","communication_association","communication_association_id","bigint"
"configadm","communication_association","operations_communication_id","bigint"
"configadm","communication_association","association_id","bigint"
"configadm","communication_association","created_by","character varying"
"configadm","communication_association","created_date","timestamp with time zone"
"configadm","communication_association","last_modified_by","character varying"
"configadm","communication_association","last_modified_date","timestamp with time zone"
"configadm","communication_association","active","smallint"
"configadm","communication_category","communication_category_id","bigint"
"configadm","communication_category","communication_category_name","character varying"
"configadm","communication_category","display_value","character varying"
"configadm","communication_category","display_seq","integer"
"configadm","communication_category","created_by","character varying"
"configadm","communication_category","created_date","timestamp with time zone"
"configadm","communication_category","last_modified_by","character varying"
"configadm","communication_category","last_modified_date","timestamp with time zone"
"configadm","communication_priority","communication_priority_id","bigint"
"configadm","communication_priority","communication_priority_name","character varying"
"configadm","communication_priority","display_value","character varying"
"configadm","communication_priority","display_seq","integer"
"configadm","communication_priority","created_by","character varying"
"configadm","communication_priority","created_date","timestamp with time zone"
"configadm","communication_priority","last_modified_by","character varying"
"configadm","communication_priority","last_modified_date","timestamp with time zone"
"configadm","company","company_id","bigint"
"configadm","company","company_code","character varying"
"configadm","company","company_name","character varying"
"configadm","company","start_date","date"
"configadm","company","end_date","date"
"configadm","company","line_of_business_id","bigint"
"configadm","company","franchisee_indicator","smallint"
"configadm","company","corporate_accounting_unit","character varying"
"configadm","company","internal_company_number","character varying"
"configadm","company","nonops_accounting_unit","character varying"
"configadm","company","email_address","character varying"
"configadm","company","signature_image_path","character varying"
"configadm","company","signature_name","character varying"
"configadm","company","created_by","character varying"
"configadm","company","created_date","timestamp with time zone"
"configadm","company","last_modified_by","character varying"
"configadm","company","last_modified_date","timestamp with time zone"
"configadm","company","certificate_number","character varying"
"configadm","company_store","company_store_id","bigint"
"configadm","company_store","company_id","bigint"
"configadm","company_store","store_id","bigint"
"configadm","company_store","start_date","date"
"configadm","company_store","end_date","date"
"configadm","company_store","accounting_unit","character varying"
"configadm","company_store","created_by","character varying"
"configadm","company_store","created_date","timestamp with time zone"
"configadm","company_store","last_modified_by","character varying"
"configadm","company_store","last_modified_date","timestamp with time zone"
"configadm","config_menu_data","parent_association_type","character varying"
"configadm","config_menu_data","parent_association_value","character varying"
"configadm","config_menu_data","association_type","character varying"
"configadm","config_menu_data","association_value","character varying"
"configadm","config_menu_data","app_function","character varying"
"configadm","contest","contest_id","bigint"
"configadm","contest","contest_name","character varying"
"configadm","contest","active","smallint"
"configadm","contest","created_by","character varying"
"configadm","contest","created_date","timestamp with time zone"
"configadm","contest","last_modified_by","character varying"
"configadm","contest","last_modified_date","timestamp with time zone"
"configadm","country","country_id","bigint"
"configadm","country","country_name","character varying"
"configadm","country","abbreviation","character varying"
"configadm","country","created_by","character varying"
"configadm","country","created_date","timestamp with time zone"
"configadm","country","last_modified_by","character varying"
"configadm","country","last_modified_date","timestamp with time zone"
"configadm","databasechangelog","id","character varying"
"configadm","databasechangelog","author","character varying"
"configadm","databasechangelog","filename","character varying"
"configadm","databasechangelog","dateexecuted","timestamp without time zone"
"configadm","databasechangelog","orderexecuted","integer"
"configadm","databasechangelog","exectype","character varying"
"configadm","databasechangelog","md5sum","character varying"
"configadm","databasechangelog","description","character varying"
"configadm","databasechangelog","comments","character varying"
"configadm","databasechangelog","tag","character varying"
"configadm","databasechangelog","liquibase","character varying"
"configadm","databasechangelog","contexts","character varying"
"configadm","databasechangelog","labels","character varying"
"configadm","databasechangelog","deployment_id","character varying"
"configadm","databasechangeloglock","id","integer"
"configadm","databasechangeloglock","locked","boolean"
"configadm","databasechangeloglock","lockgranted","timestamp without time zone"
"configadm","databasechangeloglock","lockedby","character varying"
"configadm","day_of_week","day_of_week_id","bigint"
"configadm","day_of_week","ref_code","character varying"
"configadm","day_of_week","desc_en","character varying"
"configadm","day_of_week","desc_es","character varying"
"configadm","day_of_week","created_by","character varying"
"configadm","day_of_week","created_date","timestamp with time zone"
"configadm","day_of_week","last_modified_by","character varying"
"configadm","day_of_week","last_modified_date","timestamp with time zone"
"configadm","day_of_week","display_seq","integer"
"configadm","ent_business_rule","param_category_name","character varying"
"configadm","ent_business_rule","param_group_name","character varying"
"configadm","ent_business_rule","param_config_assoc_type","character varying"
"configadm","ent_business_rule","param_config_assoc_ref_code","character varying"
"configadm","ent_business_rule","param_key_name","character varying"
"configadm","ent_business_rule","param_value","character varying"
"configadm","ent_business_rule","line_of_business","character varying"
"configadm","ent_business_rule","ent_business_rule_id","bigint"
"configadm","ent_business_rule","processed","character varying"
"configadm","ent_business_rule","parent_association_type","character varying"
"configadm","ent_business_rule","parent_association_ref_code","character varying"
"configadm","ent_business_rule","param_lov_param_name","character varying"
"configadm","ent_business_rule","param_lov_param_order","smallint"
"configadm","language","language_id","bigint"
"configadm","language","ref_code","character varying"
"configadm","language","display_seq","integer"
"configadm","language","active","smallint"
"configadm","language","default_val","smallint"
"configadm","language","desc_en","character varying"
"configadm","language","desc_es","character varying"
"configadm","language","created_by","character varying"
"configadm","language","created_date","timestamp with time zone"
"configadm","language","last_modified_by","character varying"
"configadm","language","last_modified_date","timestamp with time zone"
"configadm","line_of_business","line_of_business_id","bigint"
"configadm","line_of_business","ref_code","character varying"
