"table_schema","table_name","column_name","data_type"
"prcadm","awsdms_validation_failures_v1","TASK_NAME","character varying"
"prcadm","awsdms_validation_failures_v1","TABLE_OWNER","character varying"
"prcadm","awsdms_validation_failures_v1","TABLE_NAME","character varying"
"prcadm","awsdms_validation_failures_v1","FAILURE_TIME","timestamp without time zone"
"prcadm","awsdms_validation_failures_v1","KEY_TYPE","character varying"
"prcadm","awsdms_validation_failures_v1","KEY","character varying"
"prcadm","awsdms_validation_failures_v1","FAILURE_TYPE","character varying"
"prcadm","awsdms_validation_failures_v1","DETAILS","character varying"
"prcadm","brand","brand_id","bigint"
"prcadm","brand","brand_name","character varying"
"prcadm","brand","active","smallint"
"prcadm","brand","rms_brand_code","character varying"
"prcadm","brand","created_by","character varying"
"prcadm","brand","created_date","timestamp with time zone"
"prcadm","brand","last_modified_by","character varying"
"prcadm","brand","last_modified_date","timestamp with time zone"
"prcadm","category_subtype","category_subtype_id","smallint"
"prcadm","category_subtype","category_subtype_name","character varying"
"prcadm","category_subtype","category_type_id","smallint"
"prcadm","category_subtype","ref_code","character varying"
"prcadm","category_subtype","desc_en","character varying"
"prcadm","category_subtype","desc_es","character varying"
"prcadm","category_subtype","active","smallint"
"prcadm","category_subtype","display_seq","integer"
"prcadm","category_subtype","created_by","character varying"
"prcadm","category_subtype","created_date","timestamp with time zone"
"prcadm","category_subtype","last_modified_by","character varying"
"prcadm","category_subtype","last_modified_date","timestamp with time zone"
"prcadm","category_type","category_type_id","smallint"
"prcadm","category_type","category_type_name","character varying"
"prcadm","category_type","ref_code","character varying"
"prcadm","category_type","desc_en","character varying"
"prcadm","category_type","desc_es","character varying"
"prcadm","category_type","active","smallint"
"prcadm","category_type","display_seq","integer"
"prcadm","category_type","created_by","character varying"
"prcadm","category_type","created_date","timestamp with time zone"
"prcadm","category_type","last_modified_by","character varying"
"prcadm","category_type","last_modified_date","timestamp with time zone"
"prcadm","company","company_id","bigint"
"prcadm","company","company_code","character varying"
"prcadm","company","company_name","character varying"
"prcadm","company","start_date","date"
"prcadm","company","end_date","date"
"prcadm","company","line_of_business_id","bigint"
"prcadm","company","franchisee_indicator","smallint"
"prcadm","company","corporate_accounting_unit","character varying"
"prcadm","company","internal_company_number","character varying"
"prcadm","company","nonops_accounting_unit","character varying"
"prcadm","company","email_address","character varying"
"prcadm","company","signature_image_path","character varying"
"prcadm","company","signature_name","character varying"
"prcadm","company","created_by","character varying"
"prcadm","company","created_date","timestamp with time zone"
"prcadm","company","last_modified_by","character varying"
"prcadm","company","last_modified_date","timestamp with time zone"
"prcadm","company","certificate_number","character varying"
"prcadm","company_store","company_store_id","bigint"
"prcadm","company_store","company_id","bigint"
"prcadm","company_store","store_id","bigint"
"prcadm","company_store","start_date","date"
"prcadm","company_store","end_date","date"
"prcadm","company_store","accounting_unit","character varying"
"prcadm","company_store","created_by","character varying"
"prcadm","company_store","created_date","timestamp with time zone"
"prcadm","company_store","last_modified_by","character varying"
"prcadm","company_store","last_modified_date","timestamp with time zone"
"prcadm","cost_pricing_rule","cost_pricing_rule_id","bigint"
"prcadm","cost_pricing_rule","zone_id","bigint"
"prcadm","cost_pricing_rule","rms_department_id","bigint"
"prcadm","cost_pricing_rule","rms_subdepartment_id","bigint"
"prcadm","cost_pricing_rule","rms_bracket_id","bigint"
"prcadm","cost_pricing_rule","min_rate_pct","numeric"
"prcadm","cost_pricing_rule","max_rate_pct","numeric"
"prcadm","cost_pricing_rule","min_rate_new","numeric"
