"table_schema","table_name","column_name","data_type"
"racadm","account_activity_subtype","account_activity_subtype_id","bigint"
"racadm","account_activity_subtype","ref_code","character varying"
"racadm","account_activity_subtype","display_seq","integer"
"racadm","account_activity_subtype","active","smallint"
"racadm","account_activity_subtype","default_val","smallint"
"racadm","account_activity_subtype","desc_en","character varying"
"racadm","account_activity_subtype","desc_es","character varying"
"racadm","account_activity_subtype","created_by","character varying"
"racadm","account_activity_subtype","created_date","timestamp with time zone"
"racadm","account_activity_subtype","last_modified_by","character varying"
"racadm","account_activity_subtype","last_modified_date","timestamp with time zone"
"racadm","account_activity_type","account_activity_type_id","bigint"
"racadm","account_activity_type","ref_code","character varying"
"racadm","account_activity_type","display_seq","integer"
"racadm","account_activity_type","active","smallint"
"racadm","account_activity_type","default_val","smallint"
"racadm","account_activity_type","desc_en","character varying"
"racadm","account_activity_type","desc_es","character varying"
"racadm","account_activity_type","created_by","character varying"
"racadm","account_activity_type","created_date","timestamp with time zone"
"racadm","account_activity_type","last_modified_by","character varying"
"racadm","account_activity_type","last_modified_date","timestamp with time zone"
"racadm","account_management_activity","account_management_activity_id","bigint"
"racadm","account_management_activity","store_id","bigint"
"racadm","account_management_activity","customer_id","bigint"
"racadm","account_management_activity","activity_date","timestamp with time zone"
"racadm","account_management_activity","account_activity_type_id","bigint"
"racadm","account_management_activity","account_activity_subtype_id","bigint"
"racadm","account_management_activity","notes","character varying"
"racadm","account_management_activity","call_time","timestamp without time zone"
"racadm","account_management_activity","call_result_id","bigint"
"racadm","account_management_activity","commitment_id","bigint"
"racadm","account_management_activity","receipt_id","bigint"
"racadm","account_management_activity","phone_number_dialed","character varying"
"racadm","account_management_activity","days_past_due_payment","numeric"
"racadm","account_management_activity","ent_acct_mgmt_activity_id","bigint"
"racadm","account_management_activity","created_by","character varying"
"racadm","account_management_activity","created_date","timestamp with time zone"
"racadm","account_management_activity","last_modified_by","character varying"
"racadm","account_management_activity","last_modified_date","timestamp with time zone"
"racadm","account_management_activity","ent_created_by","character varying"
"racadm","account_management_activity","ent_last_modified_by","character varying"
"racadm","account_management_activity","ent_created_date","timestamp with time zone"
"racadm","account_management_activity","ent_last_modified_date","timestamp with time zone"
"racadm","account_management_activity","created_source","character varying"
"racadm","account_management_activity","last_modified_source","character varying"
"racadm","account_management_activity","agreement_id","bigint"
"racadm","account_management_activity","field_visit_result_id","smallint"
"racadm","account_management_activity","tlo_email_id","bigint"
"racadm","account_management_activity","tlo_address_id","bigint"
"racadm","account_management_activity_archive","account_management_activity_id","bigint"
"racadm","account_management_activity_archive","store_id","bigint"
"racadm","account_management_activity_archive","customer_id","bigint"
"racadm","account_management_activity_archive","activity_date","timestamp with time zone"
"racadm","account_management_activity_archive","account_activity_type_id","bigint"
"racadm","account_management_activity_archive","account_activity_subtype_id","bigint"
"racadm","account_management_activity_archive","notes","character varying"
"racadm","account_management_activity_archive","call_time","timestamp without time zone"
"racadm","account_management_activity_archive","call_result_id","bigint"
"racadm","account_management_activity_archive","commitment_id","bigint"
"racadm","account_management_activity_archive","receipt_id","bigint"
"racadm","account_management_activity_archive","phone_number_dialed","character varying"
"racadm","account_management_activity_archive","days_past_due_payment","numeric"
"racadm","account_management_activity_archive","ent_acct_mgmt_activity_id","bigint"
"racadm","account_management_activity_archive","created_by","character varying"
"racadm","account_management_activity_archive","created_date","timestamp with time zone"
"racadm","account_management_activity_archive","last_modified_by","character varying"
"racadm","account_management_activity_archive","last_modified_date","timestamp with time zone"
"racadm","account_management_activity_archive","ent_created_by","character varying"
"racadm","account_management_activity_archive","ent_last_modified_by","character varying"
"racadm","account_management_activity_archive","ent_created_date","timestamp with time zone"
"racadm","account_management_activity_archive","ent_last_modified_date","timestamp with time zone"
"racadm","account_management_activity_archive","created_source","character varying"
"racadm","account_management_activity_archive","last_modified_source","character varying"
"racadm","account_management_activity_archive_2024","account_management_activity_id","bigint"
"racadm","account_management_activity_archive_2024","store_id","bigint"
"racadm","account_management_activity_archive_2024","customer_id","bigint"
"racadm","account_management_activity_archive_2024","activity_date","timestamp with time zone"
"racadm","account_management_activity_archive_2024","account_activity_type_id","bigint"
"racadm","account_management_activity_archive_2024","account_activity_subtype_id","bigint"
"racadm","account_management_activity_archive_2024","notes","character varying"
"racadm","account_management_activity_archive_2024","call_time","timestamp without time zone"
"racadm","account_management_activity_archive_2024","call_result_id","bigint"
"racadm","account_management_activity_archive_2024","commitment_id","bigint"
"racadm","account_management_activity_archive_2024","receipt_id","bigint"
"racadm","account_management_activity_archive_2024","phone_number_dialed","character varying"
"racadm","account_management_activity_archive_2024","days_past_due_payment","numeric"
"racadm","account_management_activity_archive_2024","ent_acct_mgmt_activity_id","bigint"
"racadm","account_management_activity_archive_2024","created_by","character varying"
"racadm","account_management_activity_archive_2024","created_date","timestamp with time zone"
"racadm","account_management_activity_archive_2024","last_modified_by","character varying"
"racadm","account_management_activity_archive_2024","last_modified_date","timestamp with time zone"
"racadm","account_management_activity_archive_2024","ent_created_by","character varying"
"racadm","account_management_activity_archive_2024","ent_last_modified_by","character varying"
"racadm","account_management_activity_archive_2024","ent_created_date","timestamp with time zone"
"racadm","account_management_activity_archive_2024","ent_last_modified_date","timestamp with time zone"
"racadm","account_management_activity_archive_2024","created_source","character varying"
"racadm","account_management_activity_archive_2024","last_modified_source","character varying"
"racadm","account_management_activity_archive_2024","agreement_id","bigint"
"racadm","account_type","account_type_id","bigint"
"racadm","account_type","ref_code","character varying"
"racadm","account_type","display_seq","integer"
"racadm","account_type","active","smallint"
"racadm","account_type","default_val","smallint"
"racadm","account_type","desc_en","character varying"
"racadm","account_type","desc_es","character varying"
"racadm","account_type","created_by","character varying"
"racadm","account_type","created_date","timestamp with time zone"
"racadm","account_type","last_modified_by","character varying"
"racadm","account_type","last_modified_date","timestamp with time zone"
"racadm","account_update_reason_type","account_update_reason_type_id","smallint"
"racadm","account_update_reason_type","ref_code","character varying"
"racadm","account_update_reason_type","display_seq","integer"
"racadm","account_update_reason_type","active","smallint"
"racadm","account_update_reason_type","default_val","smallint"
"racadm","account_update_reason_type","desc_en","character varying"
"racadm","account_update_reason_type","desc_es","character varying"
"racadm","account_update_reason_type","created_by","character varying"
"racadm","account_update_reason_type","created_date","timestamp with time zone"
"racadm","account_update_reason_type","last_modified_by","character varying"
"racadm","account_update_reason_type","last_modified_date","timestamp with time zone"
"racadm","accrued_collection_percent","country_id","smallint"
"racadm","accrued_collection_percent","line_of_business_id","smallint"
"racadm","accrued_collection_percent","past_due_bucket","character varying"
"racadm","accrued_collection_percent","past_due_bucket_desc","character varying"
"racadm","accrued_collection_percent","effective_start_date","date"
"racadm","accrued_collection_percent","effective_end_date","date"
"racadm","accrued_collection_percent","percentage","numeric"
"racadm","accrued_collection_percent","accrued_collection_pct_id","bigint"
"racadm","acct_mgmt_act_callresult","account_management_activity_id","bigint"
"racadm","acct_mgmt_act_callresult","call_result_id","bigint"
"racadm","add_return_reason","add_return_reason_id","smallint"
"racadm","add_return_reason","ref_code","character varying"
"racadm","add_return_reason","display_seq","integer"
"racadm","add_return_reason","active","smallint"
"racadm","add_return_reason","default_val","smallint"
"racadm","add_return_reason","desc_en","character varying"
"racadm","add_return_reason","desc_es","character varying"
"racadm","add_return_reason","finance_group_id","smallint"
"racadm","add_return_reason","created_by","character varying"
"racadm","add_return_reason","created_date","timestamp with time zone"
"racadm","add_return_reason","last_modified_by","character varying"
"racadm","add_return_reason","last_modified_date","timestamp with time zone"
"racadm","address","address_id","bigint"
"racadm","address","customer_id","bigint"
"racadm","address","address_type_id","bigint"
"racadm","address","address_line1","character varying"
"racadm","address","address_line2","character varying"
"racadm","address","city","character varying"
"racadm","address","latitude","numeric"
"racadm","address","longitude","numeric"
"racadm","address","state_province_id","bigint"
"racadm","address","created_by","character varying"
"racadm","address","created_date","timestamp with time zone"
"racadm","address","last_modified_by","character varying"
"racadm","address","last_modified_date","timestamp with time zone"
"racadm","address","ent_created_by","character varying"
"racadm","address","ent_last_modified_by","character varying"
"racadm","address","ent_created_date","timestamp with time zone"
"racadm","address","ent_last_modified_date","timestamp with time zone"
"racadm","address","ent_address_id","bigint"
"racadm","address","ent_party_payment_token_id","bigint"
"racadm","address","zip","character varying"
"racadm","address","plus4","character varying"
"racadm","address","active","smallint"
"racadm","address","created_source","character varying"
"racadm","address","last_modified_source","character varying"
"racadm","address","verified_date","date"
"racadm","address","exterior_number","character varying"
"racadm","address","interior_number","character varying"
"racadm","address","country_id","bigint"
"racadm","address_active_flag","ent_address_id","numeric"
"racadm","address_active_flag","active","numeric"
"racadm","address_type","address_type_id","bigint"
"racadm","address_type","ref_code","character varying"
"racadm","address_type","display_seq","integer"
"racadm","address_type","active","smallint"
"racadm","address_type","desc_en","character varying"
"racadm","address_type","desc_es","character varying"
"racadm","address_type","created_by","character varying"
"racadm","address_type","created_date","timestamp with time zone"
"racadm","address_type","last_modified_by","character varying"
"racadm","address_type","last_modified_date","timestamp with time zone"
"racadm","address_type","default_val","smallint"
"racadm","agr_inventory_init","seq_number","numeric"
"racadm","agr_inventory_init","ent_agreement_inventory_id","numeric"
"racadm","agr_inventory_init","agreement_inventory_id","numeric"
"racadm","agr_inventory_init","idle_date_when_added","timestamp without time zone"
"racadm","agr_inventory_sync","seq_number","numeric"
"racadm","agr_inventory_sync","ent_agreement_inventory_id","numeric"
"racadm","agr_inventory_sync","agreement_inventory_id","numeric"
"racadm","agr_inventory_sync","idle_date_when_added","timestamp without time zone"
"racadm","agreement","agreement_id","bigint"
"racadm","agreement","store_id","bigint"
"racadm","agreement","agreement_number","character varying"
"racadm","agreement","agreement_type_id","bigint"
"racadm","agreement","agreement_desc","character varying"
"racadm","agreement","agreement_status_type_id","bigint"
"racadm","agreement","agreement_status_reason_id","bigint"
"racadm","agreement","agreement_status_date","timestamp without time zone"
"racadm","agreement","parent_agreement_id","bigint"
"racadm","agreement","open_date","date"
"racadm","agreement","active_date","date"
"racadm","agreement","close_date","date"
"racadm","agreement","sac_date","date"
"racadm","agreement","total_cost","numeric"
"racadm","agreement","cash_price","numeric"
"racadm","agreement","sac_price","numeric"
"racadm","agreement","payment_schedule_id","bigint"
"racadm","agreement","weekly_term","smallint"
"racadm","agreement","biweekly_term","smallint"
"racadm","agreement","semi_monthly_term","smallint"
"racadm","agreement","four_weekly_term","smallint"
"racadm","agreement","monthly_term","smallint"
"racadm","agreement","weekly_rate","numeric"
"racadm","agreement","biweekly_rate","numeric"
"racadm","agreement","semi_monthly_rate","numeric"
"racadm","agreement","four_weekly_rate","numeric"
"racadm","agreement","monthly_rate","numeric"
"racadm","agreement","actual_agreement_rate","numeric"
"racadm","agreement","actual_agreement_term","smallint"
"racadm","agreement","state_province_id","bigint"
